Name,File,Score
197_inter__12,197_inter__12.mid,60
77_inter__2,77_inter__2.mid,10
86_inter__10,86_inter__10.mid,50
22_inter__2,22_inter__2.mid,10
5_inter__19,5_inter__19.mid,95
36_inter__4,36_inter__4.mid,20
48_inter__16,48_inter__16.mid,80
63_inter__4,63_inter__4.mid,20
159_inter__14,159_inter__14.mid,70
88_inter__2,88_inter__2.mid,10
50_inter__9,50_inter__9.mid,45
170_inter__10,170_inter__10.mid,50
117_inter__13,117_inter__13.mid,65
61_inter__12,61_inter__12.mid,60
2_generated,2_generated.mid,100
25_random,25_random.mid,0
161_inter__2,161_inter__2.mid,10
183_inter__17,183_inter__17.mid,85
134_inter__2,134_inter__2.mid,10
92_inter__15,92_inter__15.mid,75
12_random,12_random.mid,0
120_inter__4,120_inter__4.mid,20
175_inter__4,175_inter__4.mid,20
12_inter__14,12_inter__14.mid,70
146_inter__9,146_inter__9.mid,45
164_inter__15,164_inter__15.mid,75
103_inter__16,103_inter__16.mid,80
113_inter__9,113_inter__9.mid,45
75_inter__17,75_inter__17.mid,85
7_inter__3,7_inter__3.mid,15
54_inter__1,54_inter__1.mid,5
138_generated,138_generated.mid,100
15_inter__7,15_inter__7.mid,35
40_inter__7,40_inter__7.mid,35
49_inter__18,49_inter__18.mid,90
4_inter__17,4_inter__17.mid,85
142_inter__1,142_inter__1.mid,5
117_inter__1,117_inter__1.mid,5
74_inter__19,74_inter__19.mid,95
103_inter__7,103_inter__7.mid,35
102_inter__18,102_inter__18.mid,90
60_inter__20,60_inter__20.mid,100
185_generated,185_generated.mid,100
156_inter__7,156_inter__7.mid,35
196_inter__20,196_inter__20.mid,100
73_generated,73_generated.mid,100
182_inter__19,182_inter__19.mid,95
179_random,179_random.mid,0
31_inter__4,31_inter__4.mid,20
47_random,47_random.mid,0
64_inter__4,64_inter__4.mid,20
192_generated,192_generated.mid,100
70_inter__2,70_inter__2.mid,10
77_inter__20,77_inter__20.mid,100
63_inter__19,63_inter__19.mid,95
25_inter__2,25_inter__2.mid,10
115_inter__18,115_inter__18.mid,90
7_inter__12,7_inter__12.mid,60
57_inter__9,57_inter__9.mid,45
195_inter__19,195_inter__19.mid,95
64_generated,64_generated.mid,100
181_inter__20,181_inter__20.mid,100
127_inter__4,127_inter__4.mid,20
172_inter__4,172_inter__4.mid,20
199_inter__2,199_inter__2.mid,10
166_inter__2,166_inter__2.mid,10
133_inter__2,133_inter__2.mid,10
128_inter__19,128_inter__19.mid,95
141_inter__9,141_inter__9.mid,45
70_random,70_random.mid,0
114_inter__9,114_inter__9.mid,45
85_inter__15,85_inter__15.mid,75
12_inter__7,12_inter__7.mid,35
194_inter__17,194_inter__17.mid,85
